nome,comentario,sentimento
Mariana,"Boa estrutura, acidez média e bem ligeiro no paladar. Justo.",1
Viviane,"Nada marcante, mas também não decepciona.",1
Marcos,"Agrada fácil.",
João,"Sem dúvida uma ótima experiência.",2
Fernanda,"Equilibrado e com aromas incríveis!",
Pedro,"Ralo, some na boca.",0
Miguel,"Notas de amora, cereja e leves toques de couro, uma bela surpresa!",2
Ingrid,"Muito longe do que esperava.",
Maria,"Até que é bom, mas não achei lá essas coisas.",1
Beatriz,"Pode combinar com pratos simples com carne, nada muito além disso.",
Lúcio,"Sabores de morango, amora e cacau. Uma delícia.",
Anderson,"Aprovado! Muito bom.",2
Marcio Rodrigues,"Bebível.",1
Evelyn,"Falta personalidade, mas é bonzinho.",1
Mariana,"não me encantou",
Oscar,"Não apresentou as qualidades de um bom Merlot.",
Roberto,"Leve e saboroso.",2
Pedro,"Carece de tudo.",
Fernando,"Tem uma fruta bastante agradável, mas é simples, para o dia-a-dia.",1
Mariana,"Não é um grande vinho, mas também não decepciona. Mas poderia ser melhor.",1
Lucas,"Final amargo e desagradável não recomendo. ",0
Ana Flávia,"Surpreendente esse Merlot.",2
Maria,"Interessante.",2
Raíssa,"Encorpado e acidez na medida.",
Mariana,"Não é delicioso, mas cumpre o seu papel.",1
Samantha,"Um vinho sem muita personalidade. Passável.",1
Cristina,"Esperava mais deste Merlot",0
Pedro,"Aroma estranho e paladar artificial. ",0
Belchior,"Aroma enjoativo de uva de mesa, não gostei.",0
Paulo,"Sabor desagradável.",
Cristina,"Muito bom mesmo!",
Maria,"Rótulo para o dia a dia.",1
Nadir,"Eu gostei, mas poderia ser melhor. Ficou devendo.",1
Carlos,"Desce macio você nem sente o álcool.",2
Joel,"Aromas agradável de frutas negras e tem boa persistência. ",2
Roberto,"Vale a pena, mas não é um grande vinho.",
Edward,"Fácil de gostar.",2
Mariana,"Achei mais do mesmo, vale pelo custo-benefício.",1
Miguel,"Ok, mas nada demais.",
Evelyn,"Puro suco de Bacco. Vale o investimento",
Miguel,"Qualidade ok, não é incrível mas é bom pelo valor cobrado",
João,"Não é excelente, mas ok  para o dia a dia.",1
Richard,"Aroma meio esquisito.",0
Carlos,"Qualidade aceitável.",1
Peter,"Há vinhos mais interessantes para essa faixa de preço.",
Murilo,"Envolvente no paladar.",2
Mariana,"Sobrou alcool e final curto. Não gostei. ",
Luigi,"Muito ácido",
João Tenório,"Nada excepcional, mas razoável.",
Andrew,"Amargor desagradável, nem terminei a garrafa.",
Carlos,"Macio, pede mais um gole.",
Lucas,"Perfeito para acompanhar medalhão de frango com bacon.",2
Fabiano,"Sabor aguado e baixa persistência. Não gostei. ",0
Paulo,"Bom corpo e acidez refrescante. Vou comprar mais.",2
Jack,"um vinho bastante sofisticado e acessível.",
Ana,"Falta sabor. Não gostei nem um pouco.",
Robert Parker Jr,"Um pouco ralo, falta sabor.",
Lucas,"Melhor custo-benefício!",
Fernando,"Sabor frutado e elegante.",
Gilberto,"Já provei melhores. ",0
Cristina,"Nao muito encorpado, mas é um bom vinhozinho !",1
Hélio,"Pra uma ocasião simples dá pra tomar.",
Bernardo,"Não sou tão fã de merlot mas esse me surpreendeu !",
Roberto,"Gostei muito, ótima relação preço-qualidade.",
Beatriz,"Vinho para qualquer hora!",2
Lucas,"Bom mas sem grandes expectativas",1
Maria,"Nada de especial.",1
Lucas,"dá pro gasto.",1
Maria,"Seus aromas frutados e florais são um convite ao deleite.",2
Cristina,"Encanta já no primeiro gole. ",
João Santos,"Encorpado, mas macio, não surpreende, mas até que é agradável.",1
Juliana,"Ameixa madura e aroma de flores, vinho muito marcante !",
Fernando,"Acidez vibrante e suculento.",2
Mariana,"Esse merlot desce macio e tem uma boa persistência.",
Fernando,"Muito ácido para o meu gosto.",0
Anthony,"Tem um sabor áspero e um aroma desagradável. Não recomendo a ninguém.",0
Roberto,"Um vinho honesto.",
Juliana,"Bom, mas sem grande profundidade.",
Marianna,"Razoável.",
Jair,"Gosto ruim.",0
Mariana,"Está sempre  na minha wine list dos vinhos de dia a dia. É ótimo",2
Maria,"Falta corpo, estrutura e sabor.",0
Cristina,"Poucos aromas  e corpo leve demais",
Jennifer,"Dá pra tomar.",1
Luana,"Achei esse Merlot muito amargo. Não foi uma boa experiência.",0
Jaqueline,"Recomendadíssimo! Superou minhas expectativas.",2
Fernando,"Não é dos melhores tintos que comprei esse ano, mas ainda assim vale a pena.",
Gabriela,"Taninos presentes e elegantes.",2
Ana Luiza,"Frutado maravilhoso.",
Giovanna,"Bem fraco de sabor.",
Carlos,"Um vinho que encanta os sentidos.",2
Ana,"Falta sabor nesse merlot. ",0
Pedro,"Aromas quase inexistentes.",
Lucas,"Sem muita personalidade, mas agrada.",1
Carlos Augusto,"Vinho honesto para tomar descompromissadamente.",
Rita,"Não gostei. ",0
Cris,"Gosto artificial.",0
Jéssica,"Gosto de uva passada. Não curti.",0
Lucas,"Aroma e sabor deixam a desejar.",
Maria,"Tem um sabor muito comum, mas não é ruim.",
Helio,"Mesmo faltando corpo e sabor, tem o seu lugar em ocasiões informais.",1
Meire,"Uma bela surpresa.",2
Cristina,"Bom vinho.",
Maria,"Apenas ok e  nada mais.",1
Lucas,"Pensei que seria melhor.",0
Rute,"Não fica um gosto bom na boca.",
Roberto,"Como tantos outros vinhos do tipo mas dá pra tomar.",1
Maria,"Deixa um retrogosto metálico no final.",
Erika,"Vou comprar mais.",2
Raimundo,"Vinho leve mas com muito sabor.",2
Fred,"Frutado e leve para momentos descontraídos.",2
Pedro,"Muito adstringente. ",0
Sophia,"Não agradou tanto quanto imaginei, mas foi ok.",1
Pedro,"Merlot aveludado.",2
Miguel,"Decepcionante.",
Leonardo,"Não é lá essas coisas, bom pro dia a dia.",
Fernando,"Pelo valor pago está dentro do esperado.",1
Sofia,"Poucas qualidades.",0
Carlos,"Muito fechado com pouca expressão aromática.",0
Maurício,"Tem um travo de amargor, nada que estrague a experiência.",1
Cristina,"Não dá pra esperar muita coisa de um vinho desse valor, então tá dentro do esperado.",
Mariana,"Amargo demais. Nem de longe o que esperava",
Lucas,"Um vinho fraco. Não valeu a pena.",
João Lucas,"Sabor de fruta cozida, meio estranho.",0
Gabrielli,"Mais uma bola dentro da vinícola! Certamente voltaria a tomar.",
Celso,"Sabor enjoativo.",0
Fernanda,"Nada além do esperado.",
Roberto,"Apenas satisfatório.",
Mauro,"Simples, mas tem seus atrativos.",
Júlio César,"Básico, dentro do esperado.",1
Cristina,"Vinho simples mas com personalidade.",2
Cristiane,"É o tipo de vinho que a gente só encontra garimpando.",2
Lucas,"Um vinho correto dentro do esperado.",
Enzo Rodrigo,"Não tem muito sabor, rótulo não condiz com o que entrega",0
Maria,"Vale a pena, mas não é um vinho memorável.",1
Silvio,"Bom, mas nem tanto assim.",
Pedro,"Não é surpreendente, mas agrada.",
Anelise,"Só pro dia a dia.",1
Fernanda,"Vinho honesto, dentro do esperado para o valor",
Cristina,"ótima compra!",
Fernanda,"Muito bom. Superou minhas expectativas.",
Rafaela,"Vinho pra uma refeição simples, num dia qualquer.",
Pedro,"Péssimo vinho.",0
Marcus,"Não consegui beber.",
Fátima,"Top demais! ",
Sergio,"Meio ácido, não gostei muito.",0
Cristina," Vale experimentar.",
Clara,"Fez sucesso acompanhando uma alcatra na brasa.",2
Marcelo,"Um vinho comum para um dia comum.",1
Carlos,"Um vinho desequilibrado.",
Donatello,"Não tem nada demais.",0
Miguel,"Adequado para um dia comum",
Jamilly,"Simples e sem defeitos.",1
Mariana,"tem um frutado agradável, mas tá longe de ser um grande vinho.",
Cristina,"Um vinho com defeitos evidentes. ",0
Paulo,"Já vi merlot melhores pela mesma faixa de preço.",
Daniela,"Dá pra acompanhar um churras. Bom pelo que se paga.",1
Maria,"Não surpreende nem decepciona",1
Vivian,"Nunca mais compro.",
Cristina,"Um achado. ",2
Ronaldo,"Esse vinho não se destaca, dá pra acompanhar um almoço cotidiano.",1
Fátima,"Esperava mais.",
Luan,"Um vinho direto, sem muita complexidade.",1
Roberto,"Não apresenta nem grandes qualidades, nem grandes defeitos.",
Luana Borges,"Vinho apagado, sem graça.",
Carlos,"Um Merlot simplisinho, mas correto.",1
Charles,"Inexpressivo.",0
Maria,"Acompanha bem uma carne de panela, mas aromas um pouco tímidos. ",
Pedro,"Esse Merlozinho não faz feio!",2
Mariana,"Com certeza vou comprar novamente.",
Michael,"Nem parece ter 12,5% de alcool de tão leve.",2
Eduardo,"Me surpreendeu pela qualidade.",
Mateus,"Apenas um merlot simples pra tomar em casa.",1
Bruno,"Aromas são bons, mas some no paladar.",0
Cristina,"Um vinho modesto, mas fácil de beber.",1
Ana Beatriz,"Sabor inicial muito forte e travoso e no final aguado.",0
Carlos,"Leve na alma sem pesar no bolso.",2
Bianca,"Um dos melhores vinhos nessa faixa de preço.",2
Luís Paulo,"Muito bom.",2
Cristina,"Vinho muito doce. Não me agradou. Não compraria de novo.",0
João,"Melhor no nariz do que na boca.",0
Gabriela,"Bom pra jogar na pia.",0
Michelangelo,"Vinho macio, saboroso com um dulçor residual.",
Carlos Eduardo,"Bonzinho até.",1
Miguel,"Não recomendo.",
Pierre,"Fácil de beber. ",2
João Silva,"Um merlot sem grandes pretensões.",1
Miguel,"Aromas de flores e frutas vermelhas!",
Cintia,"Propaganda demais pra vinho de menos. Nunca mais compro.",0
Fernanda,"Acompanha muito bem um macarrão com almondegas.",
Eulália,"Regular.",1
Mariane,"Uma explosão de sabores !",2
Roberto,"Dá pra enganar.",1
Carlos,"Muito aquém do que esperava.",
Fernanda,"Vinho com taninos macios e bom final de boca.",
Maria,"Só um vinho regular pro dia a dia.",1
Hugo,"Ele tá mais pra um vinho meio seco, mas nada enjoativo.",2
Fernanda,"muita qualidade e sabor.",
Fernando,"Não faz meu tipo.",0
Laís,"Muito bom pra acompanhar massas.",
Mariana,"Poesia engarrafada.",2
Nilson,"Alcool, acidez, fruta, tudo na medida certa.",2
Pedro,"Taninos presentes e elegantes.",
Miguel,"Harmoniza muito bem com carnes vermelhas.",
Carlos,"Entrega o que promete.",
Diego Tavares,"Na média, aceitável.",1
João,"Merlozinho bom de taça!",
Maria do Bairro,"Singelo demais.",0
Vitor,"Vinho fantástico.",
Denise,"Gostoso do ínicio ao fim.",
Fernanda,"Me conquistou.",
Amanda,"Tem boa presença de boca mas sem muita complexidade aromática.",1
Lucas,"Fraco demais.",0
Ana Vitória,"Não é espetacular, apenas um vinho pra beber sem compromisso.",1
Ana Cristina,"O vinho certo para uma noite de boas conversas com os amigos.",2
Miguel,"Não compraria novamente de jeito nenhum.",
Fernando,"A acidez equilibra o açucar.",2
Bob Esponja,"Harmoniza muito bem com hamburguer de Siri.",2
Mario,"Vinho sem arestas, tudo na medida certa.",2
Ricardo,"Não é do estilo que eu esperava.",
Carlos,"Falta aromas e sem sabor.",
Paulo André,"nem esperava tanto, me surpreendi.",2
Pablo,"Sem sabor",
Eliane,"O pessoal aqui em casa adorou.",
Miguel,"Muito ácido e desequilibrado.",
Vinicius,"Tem vinhos muito  melhores na mesma faixa de valor.",
Cristina,"Se não esperar muito dele pode agradar.",
Miguel,"Embora seja apenas um vinho simples, de entrada, ele cumpre o que promete.",1
João,"Ruim só quando acaba.",2
Fernanda,"Um vinho simples e direto.",1
Mariana,"Aroma discreto.",1
Cristina,"Aroma frutado intenso, com notas de amora e ameixa.",2
Daniele,"Muito melhor do que eu esperava.",2
Maria,"Cai muito bem no friozinho.",2
Camila,"Meio sem gosto.",0
Fernando,"Ficou ótimo com polenta com carne moída.",2
Maria Júlia,"Esse merlot frustrou minhas expectativas.",
Carlos,"Não me agradou muito não!",
Nair,"Melhor tomar suco de uva!",0
Fabiana,"Sabor bem no padrão, pode funcionar com aperitivos simples, um queijo etc.",
William,"Dispensável.",
Renato,"Um pouco rústico pro meu paladar, mas acompanha bem um bife grelhado.",
Stéphane,"Propaganda enganosa.",
Lucas,"Quero mais!",
Joab,"Sempre pede mais uma taça!",
Elisa,"uma escolha certa.",
Paulo,"Muita propaganda pra pouco conteúdo.",
Miguel,"Esse Merlot é um coringa aqui em casa.",
Fernando,"Esse vinho não me agradou nem um pouco.",
Juliana,"Parece ki-suco, fraco demais.",0
Miguel,"O Caminhos Merlot 2023 me surpreendeu com um equilíbrio perfeito entre acidez e doçura. ",2
Carlos,"Indiferente.",
Maria,"Uma decepção total.",0
Mariana,"Bom pra tomar num dia comum, mas não empolga",
André,"Simples pra matar a vontade.",1
Lucas,"Vou fazer um estoque ! ",2
Cristina,"Esse vinho é um ponto fora da curva.",2
Marta,"Vinho muito versátil, harmoniza bem com vários pratos e ocasiões.",2
Will,"merlot stardardizado,  competitivo na sua faixa.",1
Aline,"Não vale a pena.",
Rodrigo,"redondo.",2
Mariana,"Deixa um gosto meio estranho.",
Lucas,"tem um sabor bem padrão, mas é bom.",1
Yasmin,"um vinho com alma",2
Célio,"Bem fraquinho.",
José Alves,"Devia tê-lo encontrado antes, uma delícia!",
Miguel,"Comprei 3 garrafas, sem arrependimento.",2
Raphael,"Sem defeitos evidentes.",1
Sara,"Gostei, mas poderia ser melhor.",
Roberto,"uma fruta genérica e só.",0
Ana Clara,"Estou sempre comprando desse merlot.",
Felipe,"Um vinho leve.",1
Carlos,"Vinho perfeito para relaxar!",
Mariana,"Vinho pra beber sem compromisso, mas muito bom!",
Pedro,"Incrível pelo valor!",
Fernando,"Bom demais da conta",2
Wagner,"Docinho mas não é enjoativo.",2
Antonio,"simplório.",0
Miguel,"Achei bem sem-vergonha pra falar a verdade.",0
Roberto,"Gostoso demais.",
Fernanda,"A descrição do vinho é enganosa, promete muito mais do que entrega.",0
Marilyn,"Cheiro de álcool muito forte.",0
Miguel,"Equilibra bem a doçura e a acidez.",2
Lucas,"Não decepciona",2
Leandro,"Vinho regular sem muitos defeitos.",
João Pedro,"Vinho desarmonioso.",
Jhonny,"Valeu cada centavo.",2
Otávio,"Entre os meus merlot favoritos.",
Carlos,"Deixa um amargor no final.",0
Cristina,"leve e sem defeitos.",
Paulo,"Um vinho xoxo de qualidade inferior.",0
Lucas,"O Caminhos Merlot é o que há de melhor na categoria.",
Karen,"Esperava mais desta safra, achei fraco. ",
Jocasta,"Esse vinho nunca falta aqui em casa.",
Cristina,"Achei meio sem graça.",0
Fernando,"Um vinho comum.",1
Felipe,"Sem graça.",0
Márcio,"Não rende muitos elogios, mas funciona.",1
Bárbara,"Cumpre o seu papel.",1
Mariana,"Macio, frutado mas sem profundidade de sabor.",
Lana,"Infelizmente não foi o que eu esperava. ",
Fernanda,"Dentro da sua proposta é um vinho razoável.",1
Fernando,"Final longo e frutado, combinou perfeitamente com massas. ",
Mariana,"Pode comprar sem medo.",2
Amanda,"Aroma artificial e enjoativo.",0
Evandro,"Condizente com o esperado.",1
Vitor,"Os sabores de frutas vermelhas em compota até que agradam, mas nada muito além disso.",1
Lucas,"Dá pra beber sem esperar muito.",
Denise,"Sobra álcool nesse vinho.",
Matheus,"Pra beber sem compromisso.",1
